id_achat,id_client,date_achat,montant,produit
1,1,2024-08-21,1541.18,Printer
2,1,2025-04-19,1010.78,Printer
3,1,2024-10-31,1932.87,Headphones
4,1,2024-01-26,1604.51,Tablet
5,1,2024-09-11,1747.27,Laptop
6,1,2024-05-09,1285.95,Camera
7,1,2025-10-06,1113.54,Phone
8,1,2025-03-22,1425.69,Keyboard
9,2,2025-08-03,577.28,Tablet
10,2,2025-02-12,552.85,Keyboard
11,3,2025-05-11,1663.78,Phone
12,3,2024-06-14,1893.36,Headphones
13,3,2025-09-11,1635.24,Camera
14,4,2025-11-26,835.64,Printer
15,5,2025-11-02,754.18,Printer
16,5,2025-06-25,1989.11,Camera
17,5,2025-03-16,456.83,Camera
18,5,2024-06-06,1862.34,Camera
19,5,2024-05-07,1584.85,Tablet
20,5,2024-09-01,86.22,Monitor
21,5,2024-04-02,1395.18,Tablet
22,5,2025-02-12,1520.09,Monitor
23,5,2025-12-10,902.72,Laptop
24,6,2024-02-17,47.82,Headphones
25,6,2024-04-22,1671.58,Keyboard
26,7,2024-09-30,1060.27,Phone
27,7,2024-03-10,1554.58,Headphones
28,7,2025-10-17,609.29,Laptop
29,7,2025-11-28,484.49,Mouse
30,7,2025-05-15,919.66,Phone
31,7,2024-06-15,1675.01,Monitor
32,7,2024-05-18,1197.51,Laptop
33,7,2026-01-13,1267.59,Mouse
34,7,2024-07-08,491.46,Tablet
35,7,2025-11-22,589.63,Laptop
36,8,2025-08-06,712.1,Mouse
37,8,2024-02-08,838.97,Phone
38,8,2025-10-22,1051.73,Camera
39,8,2025-12-10,144.68,Keyboard
40,8,2024-04-18,1092.72,Keyboard
41,8,2025-12-12,1112.76,Printer
42,8,2024-02-07,1747.93,Laptop
43,8,2025-10-15,1274.98,Camera
44,8,2025-10-05,514.76,Laptop
45,8,2024-06-20,720.62,Phone
46,9,2024-02-24,489.84,Phone
47,9,2024-12-05,1545.29,Camera
48,9,2024-06-13,275.49,Camera
49,9,2025-08-05,1096.57,Tablet
50,9,2025-03-26,1662.46,Monitor
51,9,2024-04-20,1961.83,Monitor
52,10,2025-12-28,1624.88,Phone
53,10,2025-01-24,1434.93,Monitor
54,10,2025-03-17,83.6,Headphones
55,11,2025-01-31,1584.31,Laptop
56,12,2024-05-18,1867.41,Keyboard
57,12,2024-06-21,802.47,Keyboard
58,12,2025-12-07,952.07,Laptop
59,12,2025-07-14,1509.05,Headphones
60,12,2024-10-07,579.36,Laptop
61,12,2026-01-16,1732.94,Camera
62,13,2024-11-18,257.71,Camera
63,13,2024-06-21,879.53,Printer
64,13,2024-03-26,1489.18,Printer
65,13,2025-01-24,684.68,Tablet
66,13,2025-01-03,997.44,Monitor
